COMMON_NAME,BLD_ADDRESS,PARCEL_ADDRESS,STRUCTURE_TYPE,WARD,COMMUNITY,GLOBALID,MULTIPOLYGON
LIVERY STABLE,1900 HERITAGE DR SW,7303 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{5ECB3B26-BC5E-44BD-8683-1E972846E707},"MULTIPOLYGON (((-114.1021932 50.9870801, -114.1021832 50.9871087, -114.1022302 50.9871152, -114.1022401 50.9870866, -114.1021932 50.9870801)))"
CALGARY TOWN HALL,1900 HERITAGE DR SW,8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{65D21005-F712-4C13-B15C-C947699ECB2E},"MULTIPOLYGON (((-114.1083922 50.9851595, -114.1083796 50.9852293, -114.1083948 50.9852304, -114.108384 50.9852902, -114.1084787 50.9852967, -114.1085051 50.9851665, -114.1083922 50.9851595)))"
CHINOOK PEDESTRIAN OVERPASS,6201 MACLEOD TR SW,6200 MACLEOD TR SW;6455 MACLEOD TR SW,PLUS 15,WARD 11,MEADOWLARK PARK,{E87D2EE0-1B3A-465C-B980-99DB064D2698},"MULTIPOLYGON (((-114.0729355 50.9977386, -114.0729408 50.9977347, -114.0729457 50.9977285, -114.0729505 50.9977222, -114.0729703 50.9977049, -114.07265 50.9975632, -114.0720105 50.9975493, -114.0720029 50.9974827, -114.0719641 50.9973885, -114.0718993 50.9973895, -114.0719354 50.9975483, -114.0711079 50.9975285, -114.0711087 50.9975182, -114.0706639 50.9975037, -114.0706633 50.9975732, -114.0711058 50.99759, -114.071107 50.997579, -114.0726487 50.9976151, -114.0729355 50.9977386)))"
TICKET OFFICE,1900 HERITAGE DR SW,8003 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{80520DE7-E74E-4C28-B156-025D02CD2FFE},"MULTIPOLYGON (((-114.1019996 50.9824244, -114.1019317 50.9825166, -114.102055 50.9825528, -114.1020839 50.9825136, -114.1020864 50.9825102, -114.1021118 50.9824758, -114.1021229 50.9824607, -114.1020982 50.9824534, -114.1019996 50.9824244)))"
I.G. BAKER & CO. STORE,1900 HERITAGE DR SW,7303 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{88885C73-D7C9-4164-8296-ACFF0FD6BDBF},"MULTIPOLYGON (((-114.1028042 50.9870007, -114.10276 50.9871135, -114.1028758 50.9871316, -114.10292 50.9870188, -114.1028042 50.9870007)))"
TRICO CENTRE FOR FAMILY WELLNESS,11150 BONAVENTURE DR SE,11150 BONAVENTURE DR SE,COMMUNITY FACING MIXED USE BUILDING,WARD 11,WILLOW PARK,{6353D7D3-6216-4E8C-A6C0-3BE6CB8B3C39},"MULTIPOLYGON (((-114.0588431 50.9527094, -114.0591011 50.9527095, -114.0591011 50.9527191, -114.0595305 50.9527193, -114.0595308 50.952555, -114.0595523 50.952555, -114.0595779 50.9525192, -114.0595954 50.9524816, -114.0596043 50.9524427, -114.0596044 50.9524035, -114.0595959 50.9523646, -114.0595787 50.9523269, -114.0595533 50.9522911, -114.0595314 50.9522911, -114.0595317 50.9521296, -114.0593084 50.9521295, -114.0591896 50.9520542, -114.0591393 50.9520542, -114.0590493 50.9519971, -114.0589374 50.9519971, -114.0588991 50.9519728, -114.0590203 50.9518949, -114.0590296 50.9519034, -114.0590515 50.9518898, -114.0590506 50.9518197, -114.0590073 50.9517925, -114.059156 50.9516977, -114.0590827 50.9516531, -114.0591046 50.9516411, -114.0589342 50.9515359, -114.0587902 50.9516282, -114.058545 50.951629, -114.0584869 50.9516289, -114.058487 50.9515775, -114.0582212 50.9515772, -114.0582212 50.9515413, -114.0579433 50.951541, -114.0579425 50.9518686, -114.0579187 50.9518686, -114.0579023 50.9518686, -114.0579021 50.9519208, -114.0579187 50.9519208, -114.0579427 50.9519208, -114.0579425 50.9519948, -114.0579189 50.9519948, -114.0577043 50.9519946, -114.0577036 50.9522525, -114.0579192 50.9522528, -114.0584157 50.9522533, -114.0584155 50.9523328, -114.0583149 50.9523327, -114.0583148 50.9523797, -114.0583145 50.9524896, -114.0584438 50.9525732, -114.0584753 50.9525534, -114.0585955 50.9526297, -114.0588433 50.9526295, -114.0588431 50.9527094)))"
LAKEVIEW LIFT STATION WASHROOM,7305 CROWCHILD TR SW,7305 CROWCHILD TR SW,WASHROOM,WARD 11,GLENMORE PARK,{549A9BDC-004A-4200-9591-FE5AC61C72A9},"MULTIPOLYGON (((-114.1183645 50.9896992, -114.1183026 50.989804, -114.1184192 50.9898314, -114.1184812 50.9897267, -114.1183645 50.9896992)))"
FIRE STATION #11,5506 4 ST SW,5506 4 ST SW,FIRE,WARD 11,WINDSOR PARK,{4D63B079-0794-4838-B526-7220AC777C93},"MULTIPOLYGON (((-114.0712838 51.0046372, -114.0712649 51.0046372, -114.0712649 51.0046365, -114.071028 51.0046364, -114.071028 51.0046345, -114.0709576 51.0046345, -114.0709576 51.0046403, -114.0709184 51.0046403, -114.0709181 51.0050836, -114.0709268 51.0050836, -114.0709268 51.0050775, -114.0709408 51.0050775, -114.0709408 51.0050835, -114.0709946 51.0050835, -114.0709946 51.0050791, -114.0710112 51.0050791, -114.0710112 51.0050686, -114.0710187 51.0050687, -114.0710187 51.0050501, -114.0710027 51.0050501, -114.0710027 51.0050167, -114.0710274 51.0050167, -114.0710274 51.0049959, -114.0712689 51.004996, -114.0712689 51.0049967, -114.0712864 51.0049967, -114.0712866 51.0047452, -114.0712891 51.0047452, -114.0712891 51.0047027, -114.0712867 51.0047027, -114.0712867 51.0046475, -114.0712838 51.0046475, -114.0712838 51.0046372)))"
TURRET FOR HBC FORT,1900 HERITAGE DR SW,8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{3A29966F-BA30-4B16-96F7-972E2223A99A},"MULTIPOLYGON (((-114.1046856 50.9867324, -114.1046741 50.9867569, -114.1046717 50.9867621, -114.1046889 50.9867653, -114.1047166 50.9867704, -114.1047305 50.9867408, -114.1046856 50.9867324)))"
FUEL STORAGE/TRANSFORMER THAT IS COVERED,1900 HERITAGE DR SW,8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{663AA6E7-5D75-4DAC-92DD-3C34F2D2B186},"MULTIPOLYGON (((-114.108768 50.9857924, -114.1087982 50.9858022, -114.1088259 50.9857612, -114.1087969 50.9857525, -114.108768 50.9857924)))"
TURRET FOR WALL IN FRONT OF KINSMEN PLAY AREA,1900 HERITAGE DR SW,8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{C457B3C5-55B3-4293-979D-4481B35CB390},"MULTIPOLYGON (((-114.1100125 50.983799, -114.1100282 50.983829, -114.1100737 50.9838208, -114.1100591 50.9837914, -114.1100125 50.983799)))"
LORD CHRISHOLM'S WINDMILL,1900 HERITAGE DR SW,8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{992D4AF9-B0C5-434F-B244-9C09CBFA1BB0},"MULTIPOLYGON (((-114.1050887 50.9855336, -114.1050797 50.985564, -114.1051273 50.9855696, -114.1051363 50.9855392, -114.1050887 50.9855336)))"
DISABLED SAILING ASSOCIATION OF ALBERTA TRAILER,8415 24 ST SW,8415 24 ST SW,PUBLIC GATHERING,WARD 11,GLENMORE PARK,{D56EA432-8D84-44EF-A6F8-831DCB9A7540},"MULTIPOLYGON (((-114.1202765 50.9748316, -114.1201975 50.97489, -114.1202067 50.974895, -114.1203436 50.9749688, -114.1203446 50.9749693, -114.1203455 50.9749687, -114.1204222 50.9749119, -114.1204236 50.9749109, -114.1202802 50.9748336, -114.1202765 50.9748316)))"
LRT SUBSTATION #3,16 HADDON RD SW,16 HADDON RD SW,LRT SUBSTATION,WARD 11,HAYSBORO,{4DD1702A-EB2C-44D5-A986-841EB910C0B2},"MULTIPOLYGON (((-114.0760152 50.9786655, -114.0759912 50.9787373, -114.076004 50.978739, -114.0761908 50.978764, -114.0762008 50.978734, -114.0762071 50.9787154, -114.0762148 50.9786921, -114.0760271 50.9786671, -114.0760152 50.9786655)))"
207 & 209 CEDARDALE RD SW HOUSING,207 & 209 CEDARDALE RD SW,207 CEDARDALE RD SW;209 CEDARDALE RD SW,HOUSING - DUPLEX,WARD 11,CEDARBRAE,{D9D655E9-F3C3-4006-A568-7489E5FF7B84},"MULTIPOLYGON (((-114.1362202 50.9528493, -114.1362941 50.9529292, -114.1363651 50.952903, -114.1363703 50.9529011, -114.1363704 50.952901, -114.1363637 50.9528938, -114.1364374 50.9528666, -114.136373 50.952797, -114.1363005 50.9528237, -114.1362977 50.9528207, -114.1362919 50.9528228, -114.1362202 50.9528493)))"
SOD SHACK,1900 HERITAGE DR SW,8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{5A0FF697-B260-4DA5-891A-BE3E424417C6},"MULTIPOLYGON (((-114.1067295 50.9864476, -114.1067237 50.9864623, -114.106744 50.9864651, -114.1067506 50.9864506, -114.1067295 50.9864476)))"
RAILWAY ROUNDHOUSE,1900 HERITAGE DR SW,8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{6B509C20-EFE7-47E2-A898-35070F61FBB7},"MULTIPOLYGON (((-114.1096081 50.9852319, -114.1095851 50.9852322, -114.1095587 50.9852326, -114.1094904 50.9852339, -114.1095274 50.9854866, -114.1095934 50.9854842, -114.1096603 50.9854898, -114.1097233 50.9855008, -114.1097811 50.9855182, -114.1098358 50.9855404, -114.1099071 50.985579, -114.1099157 50.9855836, -114.1099828 50.9855356, -114.110094 50.9854538, -114.1101792 50.9853916, -114.1101558 50.9853783, -114.1101134 50.9853562, -114.1100755 50.9853356, -114.1100522 50.9853268, -114.1100237 50.9853157, -114.1099974 50.9853047, -114.1099708 50.9852932, -114.1099467 50.9852863, -114.1099194 50.9852794, -114.1098864 50.9852704, -114.1098579 50.9852616, -114.1098405 50.9852586, -114.1098164 50.9852547, -114.1097889 50.98525, -114.1097576 50.985244, -114.1097335 50.9852409, -114.1097165 50.9852396, -114.109698 50.9852376, -114.1096714 50.9852357, -114.1096468 50.9852336, -114.1096263 50.9852323, -114.1096081 50.9852319)))"
GLEDHILL'S DRUGSTORE,1900 HERITAGE DR SW,8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{A465A572-3E98-435C-9EB3-3C4FCAFD6912},"MULTIPOLYGON (((-114.1081941 50.984586, -114.1081853 50.9846426, -114.1084494 50.9846591, -114.1084583 50.9846025, -114.1081941 50.984586)))"
CPS DISTRICT 6,8325 BONAVENTURE DR SE,8325 BONAVENTURE DR SE,POLICE STATION,WARD 11,ACADIA,{D06424CD-6156-4B1D-918F-7DB85E01B8DB},"MULTIPOLYGON (((-114.0686974 50.9784654, -114.0686973 50.9785694, -114.0687188 50.9785694, -114.0687186 50.9788712, -114.0688034 50.9788712, -114.0688032 50.9791056, -114.0689545 50.9791056, -114.068968 50.9791056, -114.0689681 50.9789325, -114.0689681 50.9788723, -114.068991 50.9788723, -114.0689912 50.9785705, -114.069 50.9785705, -114.0690001 50.9784654, -114.0686974 50.9784654)))"
3546 & 3548 CEDARILLE DR SW HOUSING,3546 & 3548 CEDARILLE DR SW,3546 CEDARILLE DR SW;3548 CEDARILLE DR SW,HOUSING - DUPLEX,WARD 11,CEDARBRAE,{3CF8DEF7-EE08-44E3-972F-780808957D27},"MULTIPOLYGON (((-114.1359498 50.9534816, -114.1359472 50.9534825, -114.1359733 50.9535117, -114.136087 50.9534711, -114.1360446 50.9534238, -114.1360564 50.9534196, -114.1360541 50.9534171, -114.136014 50.9533722, -114.1358819 50.9534193, -114.1359228 50.953465, -114.1359244 50.9534668, -114.1359336 50.9534635, -114.1359498 50.9534816)))"
3534 & 3536 CEDARILLE DR SW HOUSING,3534 & 3536 CEDARILLE DR SW,3534 CEDARILLE DR SW;3536 CEDARILLE DR SW,HOUSING - DUPLEX,WARD 11,CEDARBRAE,{9C76DF63-6581-402F-AD7D-584211F56F9B},"MULTIPOLYGON (((-114.1362594 50.9538882, -114.1363829 50.95386, -114.1363541 50.9538096, -114.1363664 50.9538068, -114.1363646 50.9538037, -114.136336 50.9537537, -114.1361966 50.9537855, -114.1362248 50.9538349, -114.1362266 50.953838, -114.1362302 50.9538372, -114.1362594 50.9538882)))"
3424 & 3426 CEDARILLE DR SW HOUSING,3424 & 3426 CEDARILLE DR SW,3424 CEDARILLE DR SW;3426 CEDARILLE DR SW,HOUSING - DUPLEX,WARD 11,CEDARBRAE,{10C1D2C8-C887-4DD5-84F9-D42F97FF4A11},"MULTIPOLYGON (((-114.1363417 50.955698, -114.1363425 50.9557503, -114.136488 50.9557494, -114.1364872 50.955698, -114.1364871 50.9556943, -114.1364835 50.9556944, -114.1364827 50.9556399, -114.1363408 50.9556408, -114.1363417 50.955698)))"
TURRET FOR WALL IN FRONT OF KINSMEN PLAY AREA,1900 HERITAGE DR SW,8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{E41E3AD5-1FFB-4D7C-AA3A-41DB9E0E652F},"MULTIPOLYGON (((-114.1098272 50.9834333, -114.1098415 50.9834645, -114.109889 50.9834549, -114.1098747 50.9834237, -114.1098272 50.9834333)))"
35 & 37 CEDARDALE RD SW HOUSING,35 & 37 CEDARDALE RD SW,35 CEDARDALE RD SW;37 CEDARDALE RD SW,HOUSING - DUPLEX,WARD 11,CEDARBRAE,{28FE2598-EBA7-4B79-80F5-68FB88B4EABE},"MULTIPOLYGON (((-114.1379207 50.9548083, -114.1380049 50.9548085, -114.1380947 50.9548088, -114.1380954 50.9547202, -114.1380095 50.95472, -114.1380095 50.9547156, -114.1380049 50.9547156, -114.1379213 50.9547153, -114.1379207 50.9548083)))"
PALLISER/BAYVIEW/PUMPHILL COMMUNITY ASSOCIATION,2323 PALLISER DR SW,2315 PALLISER DR SW,COMMUNITY GATHERING,WARD 11,PALLISER,{673659D9-2CD0-4189-A9C1-4B6DBC4EC114},"MULTIPOLYGON (((-114.1134474 50.9686066, -114.1134219 50.9686308, -114.1134185 50.968634, -114.113708 50.968762, -114.1137485 50.9687254, -114.1137578 50.9687293, -114.1137782 50.9687379, -114.1137834 50.9687337, -114.1138634 50.9687691, -114.1138586 50.968775, -114.1138609 50.968776, -114.1138791 50.9687841, -114.1138803 50.9687847, -114.113887 50.9687802, -114.1140477 50.9688509, -114.1141653 50.9687443, -114.1140633 50.968695, -114.1141256 50.9686391, -114.1140099 50.9685859, -114.1140219 50.9685748, -114.1140219 50.9685747, -114.1138985 50.9685206, -114.1136594 50.9684158, -114.1136182 50.9684532, -114.1134474 50.9686066)))"
VULCAN ICE CREAM PARLOUR & ROTARY HISTORICAL HALL,1900 HERITAGE DR SW,8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{EB43E0CA-835D-419C-9074-E10034A5A99C},"MULTIPOLYGON (((-114.1082665 50.9843752, -114.1082569 50.9844455, -114.108483 50.9844578, -114.1084926 50.9843875, -114.1082665 50.9843752)))"
3420 & 3422 CEDARILLE DR SW HOUSING,3420 & 3422 CEDARILLE DR SW,3420 CEDARILLE DR SW;3422 CEDARILLE DR SW,HOUSING - DUPLEX,WARD 11,CEDARBRAE,{746C1819-FC9A-40CA-AFB6-2139EA91D159},"MULTIPOLYGON (((-114.1363351 50.9558328, -114.1363347 50.9558853, -114.1364841 50.9558857, -114.1364845 50.9558329, -114.1364845 50.9558295, -114.1364781 50.9558295, -114.1364785 50.955776, -114.1363355 50.9557755, -114.1363351 50.9558328)))"
4 CORNERS OFFICE BUILDING,5211 MACLEOD TR SW,5211 MACLEOD TR SW,LEASED SPACE,WARD 11,WINDSOR PARK,{25F76DEA-E6CF-48DA-B9D9-F497818E0BAA},"MULTIPOLYGON (((-114.0690707 51.0078361, -114.068852 51.0078369, -114.0687858 51.0078782, -114.0687866 51.0080165, -114.0689042 51.0080157, -114.0689128 51.0080157, -114.0689594 51.0080467, -114.0689595 51.0080505, -114.0689599 51.0083038, -114.069025 51.008344, -114.0692348 51.0083431, -114.0692356 51.0079419, -114.0690707 51.0078361)))"
MONTEFIORE INSTITUTE (SYNAGOGUE),1900 HERITAGE DR SW,8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{D62CB32C-459D-43CB-850F-C0FB873841C3},"MULTIPOLYGON (((-114.1070983 50.9836286, -114.1070952 50.9836261, -114.1071501 50.9835997, -114.1070951 50.9835541, -114.1070434 50.9835789, -114.1070379 50.9835744, -114.1068893 50.983646, -114.1069529 50.9836986, -114.1070983 50.9836286)))"
FLETT'S BLACKSMITH SHOP,1900 HERITAGE DR SW,8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{A0A8ED18-83F4-4C66-8CA9-2F55CD11387A},"MULTIPOLYGON (((-114.108218 50.9854088, -114.108206 50.9854766, -114.1084361 50.9854929, -114.1084405 50.9854932, -114.1084525 50.9854253, -114.1084496 50.9854251, -114.108218 50.9854088)))"
CALGARY BICYCLE TRACK LEAGUE SEA CAN OFFICE,5300 19 ST SW,5300 19 ST SW,PUBLIC OFFICE/PROFESSIONAL SERVICE,WARD 11,GLENMORE PARK,{6E070859-539F-42B3-BB21-75F3E08224B6},"MULTIPOLYGON (((-114.1036876 51.0059508, -114.1036893 51.0059311, -114.1036056 51.0059283, -114.1036039 51.005948, -114.1036876 51.0059508)))"
CLARESHOLM GENERAL STORE,1900 HERITAGE DR SW,8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{13E77E75-0B61-43FB-893E-F452D786F4A7},"MULTIPOLYGON (((-114.108192 50.9845184, -114.1081834 50.9845781, -114.1084528 50.9845934, -114.1084614 50.9845329, -114.108192 50.9845184)))"
FISHCREEK - ANDERSON SANITARY LIFT STATION,1320 ANDERSON RD SE,1352 ANDERSON RD SE,LIFT STATION,WARD 11,MAPLE RIDGE,{9825668E-571A-42F7-90EA-BFBBE01B2A91},"MULTIPOLYGON (((-114.030501 50.949451, -114.0303438 50.9495268, -114.0304242 50.9495934, -114.0305814 50.9495177, -114.0305522 50.9494935, -114.0305043 50.9494538, -114.030501 50.949451)))"
LAKEVIEW CLUBHOUSE,5840 19 ST SW,5300 19 ST SW,CLUB HOUSE,WARD 11,GLENMORE PARK,{5187644B-282B-44D3-AE7B-5D83BD53E0F7},"MULTIPOLYGON (((-114.1051643 51.0014697, -114.1051441 51.0014911, -114.1051596 51.0015104, -114.1051448 51.0015258, -114.1051092 51.0015256, -114.1050898 51.0015478, -114.105106 51.001567, -114.1050883 51.0015854, -114.1051064 51.0016084, -114.105147 51.0016089, -114.1051647 51.0015901, -114.105201 51.0015908, -114.1052215 51.0015686, -114.1052148 51.0015601, -114.1052737 51.0015833, -114.1052987 51.0015581, -114.1052389 51.0015341, -114.1052547 51.0015344, -114.1052754 51.0015126, -114.105257 51.0014904, -114.1052205 51.0014895, -114.105206 51.0014706, -114.1051643 51.0014697)))"
THORPE HOUSE,1900 HERITAGE DR SW,8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{AA72CFF4-416F-4C36-8DDF-3324FA68F693},"MULTIPOLYGON (((-114.1075866 50.9847713, -114.1075867 50.9847788, -114.1075111 50.9847737, -114.1074926 50.9848833, -114.1076409 50.9848937, -114.1076569 50.9847759, -114.1075866 50.9847713)))"
HBC FORT: MEN'S HOUSE,1900 HERITAGE DR SW,7303 14 ST SW;8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{791B3183-0468-456C-A26A-96077873E60A},"MULTIPOLYGON (((-114.1043279 50.9868772, -114.1042956 50.9869427, -114.1043664 50.9869566, -114.1043459 50.9869981, -114.1044026 50.9870093, -114.1044235 50.9869668, -114.1044969 50.9869813, -114.1045288 50.9869167, -114.1044915 50.9869093, -114.1043961 50.9868906, -114.1043279 50.9868772)))"
2627 & 2629 106 AV SW HOUSING,2627 & 2629 106 AV SW,2611 106 AV SW,HOUSING - TOWNHOUSE,WARD 11,CEDARBRAE,{D9F28DBC-22AE-4081-A411-A06BB159A753},"MULTIPOLYGON (((-114.1226401 50.9575091, -114.1224865 50.95751, -114.1224882 50.9576204, -114.1226417 50.9576195, -114.1226401 50.9575091)))"
NORTH GLENMORE PARK COMMUNITY ASSOCIATION,2231 LONGRIDGE DR SW,2231 LONGRIDGE DR SW,COMMUNITY GATHERING,WARD 11,NORTH GLENMORE PARK,{2A5F789E-464F-4F61-8D9E-C97DDB722D56},"MULTIPOLYGON (((-114.1120475 50.9978888, -114.1119683 50.9979429, -114.1119029 50.9979047, -114.1118668 50.997911, -114.1118639 50.9979044, -114.1118289 50.9979104, -114.1118325 50.9979185, -114.1117763 50.9979573, -114.111763 50.9979496, -114.1116809 50.9980064, -114.111822 50.9980886, -114.1117727 50.9981223, -114.1121187 50.998324, -114.1122496 50.9982346, -114.1122517 50.9982359, -114.1124319 50.9981129, -114.1120475 50.9978888)))"
SOUTHLAND STATION SHELTER,10158 SACRAMENTO DR SW,10158 SACRAMENTO DR SW,PROCESSING BUILDING,WARD 11,SOUTHWOOD,{7446AC63-0930-4149-B9EF-5FB96BB8FF20},"MULTIPOLYGON (((-114.0775425 50.9640947, -114.0773204 50.9641135, -114.0773193 50.9641513, -114.077334 50.9641862, -114.0775585 50.9641685, -114.0775582 50.9641287, -114.0775425 50.9640947)))"
GAMES OF AMUSEMENT,1900 HERITAGE DR SW,8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{B8096CFC-534C-41BD-82F6-DD49C13BE0B0},"MULTIPOLYGON (((-114.1086898 50.9836542, -114.1086552 50.9836766, -114.1085809 50.9837247, -114.1087059 50.9838013, -114.1087763 50.9837562, -114.1088164 50.9837306, -114.1086898 50.9836542)))"
STRATHMORE AND BOW VALLEY STANDARD,1900 HERITAGE DR SW,8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{35796E68-8587-4462-9A59-0B6514C816EA},"MULTIPOLYGON (((-114.1078079 50.9851214, -114.1077783 50.9853256, -114.1078638 50.9853319, -114.1078917 50.9851276, -114.1078918 50.9851267, -114.1078907 50.9851266, -114.1078079 50.9851214)))"
2619 & 2621 106 AV SW HOUSING,2619 & 2621 106 AV SW,2611 106 AV SW,HOUSING - TOWNHOUSE,WARD 11,CEDARBRAE,{E539B33C-28EF-4498-B6E5-992B904C3A19},"MULTIPOLYGON (((-114.1220826 50.9575052, -114.122081 50.957618, -114.1222374 50.9576189, -114.122239 50.9575061, -114.1220826 50.9575052)))"
128 HAVNHURST CR SW HOUSING,128 HAVNHURST CR SW,128 HAVENHURST CR SW,HOUSING - SINGLE FAMILY,WARD 11,HAYSBORO,{07E716BA-5559-49BE-9AB2-77E066B77335},"MULTIPOLYGON (((-114.0817999 50.9654115, -114.0817999 50.9654671, -114.0817746 50.9654671, -114.0817745 50.9655098, -114.0818013 50.9655098, -114.0818013 50.9655333, -114.0819315 50.9655333, -114.0819315 50.9654767, -114.0819403 50.9654767, -114.0819404 50.9654115, -114.0818576 50.9654115, -114.0818065 50.9654115, -114.0817999 50.9654115)))"
SANDSTONE HOUSE,1900 HERITAGE DR SW,8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{0CD95F0A-4C2F-4FE1-9BD0-7BBA1F6DBF1B},"MULTIPOLYGON (((-114.1077725 50.9843978, -114.10777 50.9844145, -114.1077644 50.9844146, -114.1077512 50.9845347, -114.1078252 50.9845385, -114.1078276 50.9845259, -114.1078863 50.9845287, -114.1079032 50.9844134, -114.1078878 50.9844017, -114.1078351 50.9844008, -114.1078346 50.9844074, -114.1078121 50.9844066, -114.1078126 50.9843981, -114.1077725 50.9843978)))"
WING CHONG CHINESE LAUNDRY,1900 HERITAGE DR SW,8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{F7412929-E3FC-4803-8717-C9AF347D258A},"MULTIPOLYGON (((-114.108749 50.9853804, -114.108742 50.9854547, -114.1089748 50.9854712, -114.1089882 50.9853962, -114.108749 50.9853804)))"
2623 & 2625 106 AV SW HOUSING,2623 & 2625 106 AV SW,2611 106 AV SW,HOUSING - TOWNHOUSE,WARD 11,CEDARBRAE,{095536F3-78D9-4FF1-A36E-5ED088146D45},"MULTIPOLYGON (((-114.1222773 50.9575106, -114.1222772 50.9576174, -114.1224443 50.9576174, -114.1224444 50.9575107, -114.1222773 50.9575106)))"
GLENMORE WTP RESIDUAL EQUALIZATION TANK & PUMP STATION,1540 GLENMORE HILL RD SW,5300 19 ST SW,PUMP STATION,WARD 11,GLENMORE PARK,{DF7E28B9-E663-43B3-A4D0-5689676949F1},"MULTIPOLYGON (((-114.0983755 51.0039117, -114.0983765 51.0040195, -114.098544 51.0040189, -114.098543 51.0039111, -114.0983755 51.0039117)))"
LAKEVIEW GOLF COURSE PANABODE #2,5300 19 ST SW,5300 19 ST SW,SHACK/SHED/SHOP,WARD 11,GLENMORE PARK,{699874CA-A80A-4756-9C70-255637DE97E7},"MULTIPOLYGON (((-114.1061552 51.0027234, -114.1061174 51.0027365, -114.1061504 51.0027745, -114.1061882 51.0027615, -114.1061552 51.0027234)))"
SOUTHLAND LEISURE CENTRE,2000 SOUTHLAND DR SW,2000 SOUTHLAND DR SW,LEISURE CENTRE,WARD 11,PALLISER,{98C3A43D-AA97-4BB0-9F8E-75982F07A090},"MULTIPOLYGON (((-114.1085098 50.9618446, -114.108465 50.9618728, -114.1082549 50.9620048, -114.1081689 50.9620588, -114.1080144 50.9621559, -114.1078684 50.9620631, -114.1078114 50.9620984, -114.1078668 50.9621333, -114.1078801 50.9621417, -114.1079127 50.9621623, -114.1078072 50.9622273, -114.1077611 50.9622556, -114.1075053 50.962093, -114.1069282 50.9624556, -114.1069034 50.9624712, -114.106877 50.9624878, -114.1068908 50.9624968, -114.1068112 50.9625469, -114.1067329 50.9625962, -114.1071333 50.9628531, -114.1071852 50.9628218, -114.1074755 50.9630075, -114.1074976 50.9629946, -114.1076207 50.9630736, -114.1082243 50.9626967, -114.1083225 50.9627581, -114.1083206 50.9629725, -114.1083715 50.962973, -114.1083716 50.9630119, -114.108372 50.9631058, -114.1089573 50.9631081, -114.1089581 50.9629879, -114.1089582 50.9629746, -114.1090506 50.9629749, -114.109051 50.9629037, -114.1090521 50.9627064, -114.1090525 50.9626346, -114.1090248 50.9626335, -114.109022 50.9623608, -114.1090473 50.9623607, -114.1090498 50.9621712, -114.1090249 50.9621714, -114.1090057 50.9621596, -114.1090093 50.9620203, -114.1090296 50.9620059, -114.1087787 50.9618482, -114.1087346 50.9618733, -114.1085547 50.9618732, -114.1085098 50.9618446)))"
ALBERTA BAKERY,1900 HERITAGE DR SW,8003R 14 ST SW,HERITAGE ATTRACTION,WARD 11,GLENMORE PARK,{49F724EB-7039-4DA2-89A7-7F250901429C},"MULTIPOLYGON (((-114.1080565 50.9851244, -114.1080279 50.9852885, -114.1081404 50.9852957, -114.1081646 50.9851328, -114.1081652 50.9851287, -114.1080565 50.9851244)))"
2615 & 2617 106 AV SW HOUSING,2615 & 2617 106 AV SW,2611 106 AV SW,HOUSING - TOWNHOUSE,WARD 11,CEDARBRAE,{F410DB13-3791-4657-A13E-582B4DFA75E1},"MULTIPOLYGON (((-114.1218699 50.9575096, -114.1218696 50.9575923, -114.1218603 50.9575923, -114.1218602 50.9576182, -114.1220394 50.9576185, -114.1220398 50.9575099, -114.1218699 50.9575096)))"
