COMMON_NAME,BLD_ADDRESS,PARCEL_ADDRESS,STRUCTURE_TYPE,WARD,COMMUNITY,GLOBALID,MULTIPOLYGON
#8 6504 35 AV NW HOUSING,#8 6504 35 AV NW,6504 35 AV NW,HOUSING - TOWNHOUSE,WARD 1,BOWNESS,{502584B4-58A9-450D-9553-EB739F5146D4},"MULTIPOLYGON (((-114.1835774 51.0846109, -114.1836706 51.0846115, -114.1836716 51.0845695, -114.1835399 51.0845671, -114.1835389 51.0846105, -114.1835774 51.0846109)))"
#11 6504 35 AV NW HOUSING,#11 6504 35 AV NW,6504 35 AV NW,HOUSING - TOWNHOUSE,WARD 1,BOWNESS,{D69668D6-81CF-4F90-97B8-AD6E8E1147F2},"MULTIPOLYGON (((-114.1835356 51.0847667, -114.183663 51.0847686, -114.1836641 51.0847266, -114.183569 51.0847216, -114.1835367 51.0847213, -114.1835356 51.0847667)))"
#4 6504 35 AV NW HOUSING,#4 6504 35 AV NW,6504 35 AV NW,HOUSING - TOWNHOUSE,WARD 1,BOWNESS,{91F64625-6E69-4EDB-8185-ADD4528F3A03},"MULTIPOLYGON (((-114.1836644 51.0844482, -114.1836725 51.0844482, -114.1836736 51.0844027, -114.1835483 51.0844014, -114.1835475 51.0844402, -114.1835391 51.0844401, -114.1835389 51.0844454, -114.1836644 51.0844482)))"
7511 BOWNESS RD NW HOUSING,7511 BOWNESS RD NW,7511 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{49E1A8F3-F9B1-4F51-B233-428449AEDBA0},"MULTIPOLYGON (((-114.1941944 51.0885887, -114.1942766 51.0885887, -114.1942765 51.0885194, -114.1941943 51.0885195, -114.1941944 51.0885887)))"
6123 BOWNESS RD NW HOUSING,6123 BOWNESS RD NW,6123 BOWNESS RD NW,HOUSING - APARTMENT,WARD 1,BOWNESS,{3DD8FB36-4411-4FA4-B94F-C5F8D185BD15},"MULTIPOLYGON (((-114.1745669 51.0831589, -114.1745674 51.0831755, -114.1745345 51.0831749, -114.174534 51.0832608, -114.1745346 51.0832608, -114.1745325 51.0833245, -114.1745808 51.083326, -114.1747497 51.0833312, -114.1747926 51.0833326, -114.1747947 51.0833327, -114.1748116 51.083267, -114.1748122 51.0832651, -114.1749061 51.0832654, -114.1749136 51.0832153, -114.1749175 51.0832145, -114.174921 51.0831594, -114.1748266 51.0831589, -114.1745669 51.0831589)))"
FIRE STATION #15,6328 35 AV NW,6328 35 AV NW,FIRE,WARD 1,BOWNESS,{F33CEEB7-0142-41CD-B4D5-35D41B91091B},"MULTIPOLYGON (((-114.1809211 51.0847241, -114.1809222 51.0846539, -114.1808839 51.0846532, -114.1808957 51.0844052, -114.1808224 51.0844039, -114.1808208 51.0844362, -114.1807885 51.0844356, -114.1807904 51.0843952, -114.180763 51.0843947, -114.1807613 51.0844304, -114.1807132 51.0844356, -114.1807084 51.0847227, -114.1809211 51.0847241)))"
#2 6504 35 AV NW HOUSING,#2 6504 35 AV NW,6504 35 AV NW,HOUSING - TOWNHOUSE,WARD 1,BOWNESS,{528F2425-85C5-408F-8563-9E9F38123724},"MULTIPOLYGON (((-114.1839378 51.0845015, -114.1840062 51.0845019, -114.1840058 51.0844171, -114.1839386 51.0844166, -114.1839378 51.0845015)))"
7509 BOWNESS RD NW HOUSING,7509 BOWNESS RD NW,7511 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{B2D30B25-B87A-403F-86A4-BD5E1EA591A3},"MULTIPOLYGON (((-114.1941103 51.0885888, -114.1941606 51.0885887, -114.1941944 51.0885887, -114.1941943 51.0885195, -114.1941101 51.0885196, -114.1941103 51.0885888)))"
7519 BOWNESS RD NW HOUSING,7519 BOWNESS RD NW,7519 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{66EA2D0C-854A-47E7-A6FA-4C0CEBF25643},"MULTIPOLYGON (((-114.194632 51.0886165, -114.1947117 51.0886164, -114.1947115 51.0885419, -114.1946303 51.088542, -114.194632 51.0886165)))"
7513 BOWNESS RD NW HOUSING,7513 BOWNESS RD NW,7515 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{92C9E82E-D763-4B03-BDBB-501BBCF1E4E1},"MULTIPOLYGON (((-114.1944084 51.0885145, -114.1943311 51.0885142, -114.1943303 51.0885899, -114.1944114 51.0885903, -114.1944084 51.0885145)))"
7527 BOWNESS RD NW HOUSING,7527 BOWNESS RD NW,7525 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{025A3AA7-40C4-4EFA-BFD9-C7C490C73F3D},"MULTIPOLYGON (((-114.1950652 51.0885876, -114.1951169 51.0885881, -114.1951469 51.0885887, -114.1951467 51.0885138, -114.1951166 51.0885137, -114.1950655 51.0885131, -114.1950652 51.0885876)))"
7503 BOWNESS RD NW HOUSING,7503 BOWNESS RD NW,7503 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{F1F2AAFF-B361-40C3-930D-F2601F9F0103},"MULTIPOLYGON (((-114.1937617 51.088592, -114.1938406 51.0885921, -114.1938408 51.0885169, -114.193758 51.0885168, -114.1937617 51.088592)))"
VALLEY RIDGE SANITARY STATION,11228R VALLEY RIDGE DR NW,11228R VALLEY RIDGE DR NW,LIFT STATION,WARD 1,VALLEY RIDGE,{2A84A390-706A-4C2E-877A-DD5BC57D7AFE},"MULTIPOLYGON (((-114.2489639 51.0967863, -114.2489655 51.0967668, -114.2489341 51.0967658, -114.2489325 51.0967853, -114.2489639 51.0967863)))"
7723 BOWNESS RD NW HOUSING,7723 BOWNESS RD NW,7723 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{585AC5F7-4170-45DF-8262-2FA6D1491885},"MULTIPOLYGON (((-114.1977953 51.0885317, -114.1977997 51.0886077, -114.1978781 51.0886073, -114.1978771 51.0885312, -114.1977953 51.0885317)))"
7715 BOWNESS RD NW HOUSING,7715 BOWNESS RD NW,7723 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{6BC6E351-08E9-4E32-9A53-6B3A29AC8152},"MULTIPOLYGON (((-114.1973618 51.0885052, -114.1973635 51.0885815, -114.1974429 51.0885813, -114.1974424 51.088505, -114.1973618 51.0885052)))"
7501 BOWNESS RD NW HOUSING,7501 BOWNESS RD NW,7503 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{E557E636-DEF6-4303-A8DD-A4BC78F669DB},"MULTIPOLYGON (((-114.193758 51.0885168, -114.1936787 51.0885167, -114.1936784 51.088592, -114.1937617 51.088592, -114.193758 51.0885168)))"
7521 BOWNESS RD NW HOUSING,7521 BOWNESS RD NW,7521 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{2A9E1676-FD13-470C-A633-C5CE79841479},"MULTIPOLYGON (((-114.1948486 51.0885401, -114.194771 51.0885395, -114.1947696 51.0886169, -114.1948503 51.0886175, -114.1948486 51.0885401)))"
7515 BOWNESS RD NW HOUSING,7515 BOWNESS RD NW,7515 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{DAB9BC09-B58B-4B18-B001-A4FFC5E98DA3},"MULTIPOLYGON (((-114.1944114 51.0885903, -114.1944905 51.0885906, -114.1944913 51.0885149, -114.1944084 51.0885145, -114.1944114 51.0885903)))"
7535 BOWNESS RD NW HOUSING,7535 BOWNESS RD NW,7533 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{9A1ACEF6-2936-49DD-9BEC-9F0B5CC8C6E1},"MULTIPOLYGON (((-114.1954996 51.0885112, -114.195502 51.0885871, -114.1955817 51.088587, -114.1955813 51.088511, -114.1954996 51.0885112)))"
7517 BOWNESS RD NW HOUSING,7517 BOWNESS RD NW,7519 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{FA50F6A2-CCA3-4675-A4EE-603C52F64A59},"MULTIPOLYGON (((-114.1946303 51.088542, -114.1945484 51.0885421, -114.1945485 51.0886166, -114.194632 51.0886165, -114.1946303 51.088542)))"
7523 BOWNESS RD NW HOUSING,7523 BOWNESS RD NW,7521 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{E64CF2A8-130B-4373-B0F6-FD0CD263C547},"MULTIPOLYGON (((-114.1948503 51.0886175, -114.1949284 51.088618, -114.1949299 51.0885407, -114.1948486 51.0885401, -114.1948503 51.0886175)))"
7507 BOWNESS RD NW HOUSING,7507 BOWNESS RD NW,7507 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{DE470840-4BC6-4238-AC71-F61C9A08BC96},"MULTIPOLYGON (((-114.1939764 51.0885168, -114.1939794 51.0885919, -114.1940604 51.0885916, -114.1940595 51.0885164, -114.1939764 51.0885168)))"
7719 BOWNESS RD NW HOUSING,7719 BOWNESS RD NW,7723 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{8DAB84E3-1946-48E2-8F24-02F989B9F278},"MULTIPOLYGON (((-114.1975748 51.0885055, -114.1975792 51.0885812, -114.1976593 51.0885808, -114.1976584 51.0885051, -114.1975748 51.0885055)))"
7525 BOWNESS RD NW HOUSING,7525 BOWNESS RD NW,7525 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{0CBA0AEF-2EB1-4594-90A5-E7785D02F11C},"MULTIPOLYGON (((-114.1950655 51.0885131, -114.194983 51.0885122, -114.1949811 51.0885867, -114.1950652 51.0885876, -114.1950655 51.0885131)))"
7717 BOWNESS RD NW HOUSING,7717 BOWNESS RD NW,7723 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{8F16D407-C93B-46E1-9369-399F536E8FE3},"MULTIPOLYGON (((-114.1975748 51.0885055, -114.1974945 51.0885059, -114.1974955 51.0885816, -114.1975792 51.0885812, -114.1975748 51.0885055)))"
7703 BOWNESS RD NW HOUSING,7703 BOWNESS RD NW,7707 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{FE801441-E8C4-4DB0-A3EF-CE6A411CFAA3},"MULTIPOLYGON (((-114.1967011 51.0886108, -114.1967816 51.0886107, -114.1967815 51.0885346, -114.1966988 51.0885347, -114.1967011 51.0886108)))"
7539 BOWNESS RD NW HOUSING,7539 BOWNESS RD NW,7537 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{27C6B8B9-58B1-4394-B884-50C9CBA43501},"MULTIPOLYGON (((-114.1957167 51.0885099, -114.1957197 51.0885863, -114.1958003 51.0885857, -114.1957988 51.0885092, -114.1957167 51.0885099)))"
7543 BOWNESS RD NW HOUSING,7543 BOWNESS RD NW,7541 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{907C9427-791A-42A3-B611-2DCBE84ADADA},"MULTIPOLYGON (((-114.1959338 51.0885367, -114.1959375 51.0886132, -114.1960175 51.0886128, -114.1960165 51.0885363, -114.1959338 51.0885367)))"
7505 BOWNESS RD NW HOUSING,7505 BOWNESS RD NW,7507 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{A44A124F-C587-49EC-81B9-D83C2C536429},"MULTIPOLYGON (((-114.1939764 51.0885168, -114.1938945 51.0885171, -114.1938952 51.0885922, -114.1939794 51.0885919, -114.1939764 51.0885168)))"
7547 BOWNESS RD NW HOUSING,7547 BOWNESS RD NW,7545 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{A3B6324D-8D9A-4861-9461-066FDF4CA2FB},"MULTIPOLYGON (((-114.1961508 51.0885361, -114.1961545 51.0886125, -114.196235 51.088612, -114.1962339 51.0885356, -114.1961508 51.0885361)))"
7709 BOWNESS RD NW HOUSING,7709 BOWNESS RD NW,7707 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{194A93A1-91E7-46A1-8620-FB3F5CBCC3F9},"MULTIPOLYGON (((-114.1971421 51.0885061, -114.1970612 51.0885067, -114.1970627 51.0885832, -114.1971452 51.0885826, -114.1971421 51.0885061)))"
7707 BOWNESS RD NW HOUSING,7707 BOWNESS RD NW,7707 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{A2AAC855-8C56-4BD7-AC2A-39854E4B38F1},"MULTIPOLYGON (((-114.1969252 51.0885339, -114.1969269 51.0886104, -114.1970082 51.0886102, -114.1970077 51.0885336, -114.1969252 51.0885339)))"
CROWCHILD TWIN ARENA ASSOCIATION ARENA,185 SCENIC ACRES DR NW,185 SCENIC ACRES DR NW,ARENA,WARD 1,SCENIC ACRES,{10996425-6D32-44C6-8607-379987753C63},"MULTIPOLYGON (((-114.2112951 51.1117218, -114.2112951 51.1117222, -114.2112931 51.1124408, -114.2113423 51.1124409, -114.2113809 51.1124409, -114.2120606 51.1124417, -114.2120899 51.1124417, -114.2121627 51.1124418, -114.2121635 51.1121562, -114.2121922 51.1121562, -114.2121924 51.1120747, -114.2121924 51.1120575, -114.2121632 51.1120575, -114.2121642 51.1117227, -114.2120887 51.1117226, -114.2119362 51.1117225, -114.2113811 51.1117219, -114.2113454 51.1117218, -114.2112953 51.1117218, -114.2112951 51.1117218)))"
VARSITY COMMUNITY ASSOCIATION GARAGE,4103 VARSITY DR NW,4303 VARSITY DR NW,COMMUNITY AUXILIARY,WARD 1,VARSITY,{B582652C-C4AE-40FE-8057-DD597E4161FD},"MULTIPOLYGON (((-114.1496562 51.091798, -114.1496277 51.0918641, -114.1497164 51.0918793, -114.1497449 51.0918132, -114.1496562 51.091798)))"
7711 BOWNESS RD NW HOUSING,7711 BOWNESS RD NW,7707 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{AB150F3B-1B1F-44AF-933E-13163D2BED10},"MULTIPOLYGON (((-114.1971421 51.0885061, -114.1971452 51.0885826, -114.1972267 51.088582, -114.1972252 51.0885055, -114.1971421 51.0885061)))"
#3 6504 35 AV NW HOUSING,#3 6504 35 AV NW,6504 35 AV NW,HOUSING - TOWNHOUSE,WARD 1,BOWNESS,{E358410E-369A-4174-BAED-877D3AD3B698},"MULTIPOLYGON (((-114.1839386 51.0844166, -114.1838646 51.0844161, -114.1838632 51.084501, -114.1839378 51.0845015, -114.1839386 51.0844166)))"
7529 BOWNESS RD NW HOUSING,7529 BOWNESS RD NW,7529 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{37B34700-A3CC-4D49-83E4-C9F6D554BC21},"MULTIPOLYGON (((-114.1952799 51.088511, -114.1951988 51.0885114, -114.1951999 51.0885885, -114.1952823 51.0885881, -114.1952799 51.088511)))"
7533 BOWNESS RD NW HOUSING,7533 BOWNESS RD NW,7533 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{130442C8-CACD-4F28-979D-D7484AE6A28E},"MULTIPOLYGON (((-114.1954996 51.0885112, -114.1954175 51.0885114, -114.1954179 51.0885873, -114.195502 51.0885871, -114.1954996 51.0885112)))"
7721 BOWNESS RD NW HOUSING,7721 BOWNESS RD NW,7723 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{8B933C76-A5DE-4714-9440-F9E1B1127AFD},"MULTIPOLYGON (((-114.1977953 51.0885317, -114.1977136 51.0885321, -114.1977146 51.0886082, -114.1977997 51.0886077, -114.1977953 51.0885317)))"
7541 BOWNESS RD NW HOUSING,7541 BOWNESS RD NW,7541 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{BB27F52A-62BD-40F9-A310-020C8D63AB81},"MULTIPOLYGON (((-114.1959338 51.0885367, -114.1958522 51.0885371, -114.1958531 51.0886136, -114.1959375 51.0886132, -114.1959338 51.0885367)))"
7545 BOWNESS RD NW HOUSING,7545 BOWNESS RD NW,7545 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{9F02B653-BCB9-4D74-A726-7BBD62918806},"MULTIPOLYGON (((-114.1961508 51.0885361, -114.1960688 51.0885366, -114.19607 51.0886131, -114.1961545 51.0886125, -114.1961508 51.0885361)))"
